,docid,title,year,genres,languages,countries,directors,composers,cast,editors,keywords,writers,plot
0,000007,"#73, Shanthi Nivasa",2007,Musical,Kannada,India,Sudeep,Bharadwaj (I),"[{'actor': 'Shivarajkumar', 'role': 'Himself'}, {'actor': 'Sudeep', 'role': 'Raghu'}, {'actor': 'Vishnuvardhan (I)', 'role': 'Himself'}]",,,,73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence 73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence 73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence 73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence 73 shanthi nivasa littlest thing life give peace happiness home although 73 shanthi nivasa seems everything surface lack depth peace amidst constant family fight raghu enters household new cook brings ingredient peace mysteriously leaf 73 shanthi nivasa without raghu able hold family together without unassuming cook presence
1,000009,#Bfl O (ggGX /STwWcfl xZs 4,1963,"['Short', 'Comedy', 'Documentary']",English,USA,"Bulkeley, Richard","Moore, Gene (II)",,"Pearce, Jim","['filmmaking', 'reference-to-bugs-bunny', 'chimpanzee']","Bulkeley, Richard",six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts six sketch featuring offscreen human voice onscreen chimpanzee men clothing illustrating six aspect movie making script writing using camera working darkroom editing art animation shooting scene special attention sound screen go black sketch narration straightforward chimp providing comic contradicting subtexts
2,000011,$,1971,"['Comedy', 'Drama', 'Crime']",English,USA,"Brooks, Richard (I)","Jones, Quincy","[{'actor': 'Armstrong, Darrell (I)', 'role': 'Associated Press'}, {'actor': 'Beatty, Warren', 'role': 'Joe Collins'}, {'actor': 'Blanc, Françoise', 'role': '$ stripper'}, {'actor': 'Brady, Scott (I)', 'role': 'Sarge'}, {'actor': 'Brauss, Arthur', 'role': 'Candy Man'}, {'actor': 'Fröbe, Gert', 'role': 'Mr. Kessel'}, {'actor': 'Hawn, Goldie', 'role': 'Dawn Divine'}, {'actor': 'Herron, Bob (I)', 'role': 'Bodyguard'}, {'actor': 'Hesslein, Horst', 'role': 'Bruno'}, {'actor': 'Hutter, Hans (I)', 'role': 'Karl'}, {'actor': 'Kieling, Wolfgang', 'role': 'Granich'}, {'actor': 'Kuhlman, Wolfgang', 'role': 'Furcoat'}, {'actor': 'Lahman, Kirsten', 'role': 'Customs'}, {'actor': 'Maybach, Christiane', 'role': 'Helga'}, {'actor': 'Platon, Tove', 'role': 'Customs'}, {'actor': 'Schichan, Klaus', 'role': 'Knifeman'}, {'actor': 'Stiles, Robert', 'role': 'Major'}, {'actor': 'Trott, Walt', 'role': 'Stars and Stripes'}, {'actor': 'Webber, Robert (I)', 'role': 'Attorney'}]","Grenville, George","['dollar-sign-in-title', 'bottle', 'striptease', 'evil-lawyer', 'bank-robbery', 'planning', 'robbery', 'vault', 'nightclub', 'drugs', 'bank-manager', 'heist', 'hamburg-germany', 'unlikely-criminal', 'symbol-for-title', 'motor-car-on-floating-ice', 'bank-heist', 'murder', 'copenhagen-denmark', 'heroin-smuggling', 'germany', 'caper-comedy', 'gangster', 'caper', 'heist-movie', 'safe-deposit', 'deposit-box', 'expatriate', 'security-expert', 'drug-smuggling', 'prostitute', 'one-last-job']","Brooks, Richard (I)",several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back several criminal use safe deposit box german bank store large amount illicit cash employee bank learns mean prostitute patronize devise clever plan steal money criminal cant go police try steal money back
3,000012,$#!+ Happens,2008,"['Short', 'Comedy']",English,USA,"Ng, Joseph W.",,"[{'actor': 'Hodges, Daniel E.', 'role': ""Oliver 'Ollie' Akaram""}, {'actor': 'Wilhelm, Ashley', 'role': 'Security Guard'}]","Ng, Joseph W.","['security-guard', 'terrorism', 'food-poisoning', 'exam', 'student', 'toilet-humor', 'university', 'cramming', 'pain-in-stomach', 'true-story', 'college', 'mistaken-identity', 'campus']","Ng, Joseph W.",young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo young man impending midterm exam becomes least worry trip restroom turn full inquisition seemingly innocent harmless remark read serious sinister connotation light society new status quo
4,000016,"$1,000,000 Chance of a Lifetime",1986,Game-Show,English,USA,,,"[{'actor': 'Gilbert, Johnny (I)', 'role': 'Announcer'}, {'actor': 'Lange, Jim', 'role': 'Host'}, {'actor': 'Summers, Marc', 'role': 'Announcer'}]",,"['trivia', 'number-in-title', 'quiz-show', 'non-fiction']",,shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar shortlived quiz show hosted tv veteran jim lange husbandandwife team would compete answering tough series trivia question winning couple would go championship round would chance win one million dollar
5,000018,$1.17,2007,"['Short', 'Drama']",,USA,"Berglove, Joe",,"{'actor': 'Douda, Nate', 'role': 'Himself'}",,"['coming-of-age', 'supernatural', 'spiritual', 'magical-realism']","Douda, Dennis (III)",sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat sometimes thought count young willie walker top world get ready day day bad everyone else forgot everyone old farm house anyway still receives birthday gift lifetime loving heart longer beat
6,000023,"$100,000 Name That Tune",1984,"['Music', 'Game-Show']",English,USA,"Walton, Kip",,"[{'actor': 'Harlan, John', 'role': 'Announcer'}, {'actor': 'Lange, Jim', 'role': 'Host'}, {'actor': 'Oliver, Tommy (I)', 'role': 'Orchestra Leader'}]",,"['number-in-title', 'non-fiction']",,updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune updated version popular longrunning quiz show hosted jim lange two contestant compete see greater knowledge popular song music play first contestant name song win money prize additional challenge include contestant bidding note need order name tune
7,000030,$25 Million Dollar Hoax,2004,Reality-TV,English,USA,,,"[{'actor': 'Bass, Lance', 'role': 'Himself'}, {'actor': 'Gray, George (IV)', 'role': 'Host/Narrator'}, {'actor': 'McMahon, Ed (I)', 'role': 'Himself'}]","['Anido, Vince', 'Ghaman, Roger']","['lottery', 'family-relationships', 'selfishness', 'number-in-title', 'prank']",,threeepisode reality series woman convince family lottery money turned nice girl selfish shopaholic prank successful family really win large prize fails family get nothing threeepisode reality series woman convince family lottery money turned nice girl selfish shopaholic prank successful family really win large prize fails family get nothing
8,000031,"$25,000 Clean Up on No. 16, Eldorado",1903,"['Short', 'Documentary']",,USA,,,,,number-in-title,,show final washing gold one richest claim klondike coarse gold nugget placed pan ready weighing four year owner professor lippy received 5000000 claim show final washing gold one richest claim klondike coarse gold nugget placed pan ready weighing four year owner professor lippy received 5000000 claim
9,000035,"$35,000 Clean-Up on Eldorado No. 10",1903,"['Short', 'Documentary']",,USA,,,,,number-in-title,,show process saving gold water turned simple consists lifting riffleboards scooping gold ordinary coal shovel shown two great pan full gold piled view plentiful 1000 15000 nugget handled men picture enough arouse envy heart stone image show process saving gold water turned simple consists lifting riffleboards scooping gold ordinary coal shovel shown two great pan full gold piled view plentiful 1000 15000 nugget handled men picture enough arouse envy heart stone image
10,000037,"$40,000",1996,Comedy,English,USA,"Lorton, William",,"[{'actor': 'Agbabian, Michael', 'role': 'News Producer'}, {'actor': 'Bagel, Ron', 'role': 'Surgeon General'}, {'actor': 'Baskin, Jason', 'role': 'Jonathan Schaffer'}, {'actor': 'Bernstein, Gregory', 'role': 'Tobacco Spokesman'}, {'actor': 'Bissonnette, Veva K.', 'role': 'Teacher'}, {'actor': 'Bjorkman, Carol', 'role': 'Party Guest'}, {'actor': 'Boyd, Cynthia', 'role': ""Russ' Wife""}, {'actor': 'Boyer, Jeff', 'role': 'Suicide Jock'}, {'actor': 'Burdett, Eric', 'role': 'Suicide Yuppie'}, {'actor': 'Cook, Bryan A.', 'role': 'Himself'}, {'actor': 'Crampton, Nancy O.', 'role': 'Party Guest'}, {'actor': 'Davidian, Robert (I)', 'role': 'Magnate #1'}, {'actor': 'DeAngelis, Sarah', 'role': 'Jackie'}, {'actor': 'Donaty, Daniel', 'role': 'Frenchman'}, {'actor': 'Donaty, John', 'role': 'Himself'}, {'actor': 'Donaty, Marta', 'role': 'Herself'}, {'actor': 'Feeney, Alana A.', 'role': 'Receptionist'}, {'actor': 'Freeman, Scott (III)', 'role': 'Store Customer'}, {'actor': 'Fuller, Bryan (III)', 'role': 'Butler'}, {'actor': 'Gatto, Dan', 'role': 'Russ Carter'}, {'actor': 'Gatto, Gina', 'role': 'Translatrix'}, {'actor': 'Gatto, Peggy', 'role': 'Party Guest'}, {'actor': 'Gerber, Craig', 'role': 'Photo Flash Victim'}, {'actor': 'Gilbert, John (VI)', 'role': 'Senator'}, {'actor': 'Gingerich, Judi', 'role': 'Party Guest'}, {'actor': 'Hall, Louise (I)', 'role': 'Party Guest'}, {'actor': 'Hanson, Susan Fehring', 'role': 'Party Guest'}, {'actor': 'Hargis, Thomas', 'role': 'Photo Student'}, {'actor': 'Holt, Kathryn', 'role': 'Party Guest'}, {'actor': 'Isenberg, Edwin', 'role': 'Himself'}, {'actor': 'Jackson, Fred M.', 'role': 'Operator'}, {'actor': 'Jackson, Susan M.', 'role': 'Party Guest'}, {'actor': 'Jones, Ken (VIII)', 'role': ""Chairman's Real Son""}, {'actor': 'Kornweibel, Mark', 'role': 'Himself'}, {'actor': 'Lemmon, Russ', 'role': 'Himself'}, {'actor': 'Lizzie (I)', 'role': 'Dog'}, {'actor': 'Lorton Sr., Bill', 'role': 'Magnate #4'}, {'actor': 'Lorton Sr., Paul V.', 'role': 'Chauffeur'}, {'actor': 'Lorton, John', 'role': 'Bike Messenger'}, {'actor': 'Lorton, Lia', 'role': 'Garden Party Host'}, {'actor': 'Lorton, William', 'role': 'Dolf'}, {'actor': 'Lynch, Joan M.', 'role': 'Party Guest'}, {'actor': 'Lyndon, Amy (I)', 'role': 'Miss Hatter'}, {'actor': 'McLane, Tobin (I)', 'role': 'Tech Guy'}, {'actor': 'Mejia, Tania', 'role': 'Rene'}, {'actor': 'Pinsky, Barry', 'role': 'Chairman Carter'}, {'actor': 'Porter, Erik (I)', 'role': 'Newspaper Buyer'}, {'actor': 'Purcell, Derek', 'role': 'Flirting Jock'}, {'actor': 'Rille, Norman', 'role': 'Secret Service Man'}, {'actor': 'Romm, Gary', 'role': 'Gray'}, {'actor': 'Smith (I)', 'role': 'Dean'}, {'actor': 'Smith, Dwight D.', 'role': ""Maitre'd""}, {'actor': 'Smith, Ted (XIII)', 'role': 'Taxi Driver'}, {'actor': 'Tallenger, Scott', 'role': 'Computer Man'}, {'actor': 'Terzian, Drikor', 'role': 'Magnate #3'}, {'actor': 'Turke, Richard', 'role': 'Himself'}, {'actor': 'Ureche, Arthur M.', 'role': 'Dick'}, {'actor': 'Vos, Robert O.', 'role': 'Reporter on Phone'}, {'actor': 'Vos, Thomas', 'role': 'Himself'}, {'actor': 'Wexler, Paul (III)', 'role': 'Magnate #2'}, {'actor': 'Williams, Tom (XXI)', 'role': 'TV Reporter'}, {'actor': 'Winslow, Chris L.', 'role': 'Ulysses Student'}, {'actor': 'Winston, Jason M.', 'role': 'Himself'}, {'actor': 'Wisner, John (I)', 'role': 'Dirk'}, {'actor': 'Wool, Daniel', 'role': 'Himself'}, {'actor': 'Yaitanes, Greg', 'role': 'Store Cashier'}, {'actor': 'Zisser, Arron', 'role': 'Smirking Kid'}, {'actor': 'de Anda, Carlos Medrano', 'role': 'Himself'}, {'actor': 'de Carion, Jan', 'role': 'Party Guest'}]","['Lorton, William', 'Porter, Erik (I)']","['dollar-sign-in-title', 'experimental-film', 'number-in-title', 'independent-film', 'surrealist', 'money-in-title', 'absurd-humor']","Lorton, William",follow adventure jonathan shaffer exsurrealist forced back fold one last surrealist job comedy man must reconcile normal person become strange past defeat worst enemy dadaist conspiracy follow adventure jonathan shaffer exsurrealist forced back fold one last surrealist job comedy man must reconcile normal person become strange past defeat worst enemy dadaist conspiracy
11,000040,$5 Cover: Seattle,2009,Drama,English,USA,"Shelton, Lynn",,,"Donavan, Sean","['independent-music', 'bands', 'seattle']","Shelton, Lynn",independent music scene seattle vibrant community talented musician 5 cover seattle dramatic series humpdays lynn shelton take place 1 weekend life 14 seattle band interact practice work perform hang friend independent music scene seattle vibrant community talented musician 5 cover seattle dramatic series humpdays lynn shelton take place 1 weekend life 14 seattle band interact practice work perform hang friend
12,000043,"$5,000 Reward",1918,Mystery,English,USA,"Gerrard, Douglas",,"[{'actor': 'Brownlee, Frank', 'role': 'Ackley'}, {'actor': 'Farnum, Franklyn', 'role': 'Dick Arlington'}, {'actor': 'Fenton, Mark (I)', 'role': 'Hammersley'}, {'actor': 'Hope, Gloria (I)', 'role': 'Margaret Hammersley'}, {'actor': 'Jones, Wharton (I)', 'role': 'Tracy'}, {'actor': 'Lloyd, William (I)', 'role': 'Henry Arlington'}, {'actor': 'MacDonald, J. Farrell', 'role': 'Norcross'}, {'actor': 'McLean, Grace', 'role': 'Jeanette'}]",,"['number-in-title', 'murder', 'detective', 'fugitive']","['Sanders, Charles Wesley', 'Willis, F. McGrew']",wealthy old man murdered deciding write nephew fearing accused murder nephew take flight help young woman whose life save try track real murderer wealthy old man murdered deciding write nephew fearing accused murder nephew take flight help young woman whose life save try track real murderer
13,000046,"$50,000 Reward",1924,Western,English,USA,"Elfelt, Clifford S.",,"[{'actor': 'Ain, Augusta', 'role': 'Freckles'}, {'actor': 'Berry, Ananias', 'role': 'Snowball'}, {'actor': 'DeForrest, Katherine', 'role': 'Follies girl'}, {'actor': 'Fay, Grace', 'role': 'Follies girl'}, {'actor': 'Flynn, Edythe', 'role': 'Follies girl'}, {'actor': 'Leighton, Lillian', 'role': 'Mrs. Miller'}, {'actor': 'Lindley, Bert', 'role': 'Anthony Jordan'}, {'actor': 'Lorraine, Fern', 'role': 'Follies girl'}, {'actor': 'Maynard, Ken', 'role': 'Tex Sherwood'}, {'actor': 'Moran, William F.', 'role': 'Eli Higgins'}, {'actor': 'Newton, Charles (I)', 'role': 'Pa Miller'}, {'actor': 'Peil Sr., Edward', 'role': 'Buck Scofield'}, {'actor': 'Whitson, Frank', 'role': 'Asa Holman'}]",,number-in-title,"Clark, Frank Howard",tex sherwood come possession valuable piece land irrigated new dam banker holman knowing deed must registered next day offer 50000 reward texs capture tex sherwood come possession valuable piece land irrigated new dam banker holman knowing deed must registered next day offer 50000 reward texs capture
14,000051,$6 Man,2008,Drama,English,USA,"Cring, Jon Russell",,"[{'actor': 'Bishop, Sherre', 'role': 'Marvel'}, {'actor': 'Cring, Jasson', 'role': 'Robber'}, {'actor': 'Cring, Jon Russell', 'role': 'Angry Driver'}, {'actor': 'Falk, Geoff', 'role': 'Homeless Man'}, {'actor': 'Falk, Jan', 'role': 'Nurse'}, {'actor': 'Horton, Heather', 'role': 'YMCA Receptionist'}, {'actor': 'Johnson, Starina', 'role': 'Arlene Kincaid'}, {'actor': 'Roebuck, Phillip', 'role': 'Blake Sorrenson'}, {'actor': 'Smith, D.R.', 'role': 'Don Otis'}]","Nichole Cring, Tracy",,"Cring, Jonathan Richard",accumulation bill loss job place father blake dilemma without hearth home journey begin street america young daughter natalie discover way survive six dollar day accumulation bill loss job place father blake dilemma without hearth home journey begin street america young daughter natalie discover way survive six dollar day
15,000052,$9.99,2003,Adventure,English,USA,"['Hunkele, Harry', 'Mello, Rich', 'Merlino, Adele', 'Wierson, Arick B.']",,"[{'actor': 'Bashir, Maryam', 'role': 'Hostess'}, {'actor': 'Bryan, Eve', 'role': 'Herself'}, {'actor': 'Collier, Rich', 'role': 'Host'}, {'actor': 'Dipple, Amanda', 'role': 'Herself'}, {'actor': 'Gianopolous, Eleni', 'role': 'Herself'}, {'actor': 'Gilbreath, Amanda', 'role': 'Marcy'}, {'actor': 'Gonzales, Veronica (II)', 'role': 'Herself'}, {'actor': 'Greenleaf, Cat', 'role': 'Hostess'}, {'actor': 'Gutierrez, Tatiana', 'role': 'Co-host'}, {'actor': 'Harris, Danielle', 'role': 'Co-host'}, {'actor': 'Intindoli, Michael', 'role': 'Himself'}, {'actor': 'Laipply, Julie', 'role': 'Co-host'}, {'actor': 'Laipply, Julie', 'role': 'Herself - Co-host'}, {'actor': 'Laipply, Julie', 'role': 'Herself - Hostess'}, {'actor': 'Laipply, Julie', 'role': 'Hostess'}, {'actor': 'McMullan, Brian', 'role': 'Co-Host'}, {'actor': 'McMullan, Brian', 'role': 'Himself - Co-host'}, {'actor': 'McMullan, Brian', 'role': 'Himself - Host'}, {'actor': 'McMullan, Brian', 'role': 'Host'}, {'actor': 'Moeller, Carina', 'role': 'Herself'}, {'actor': 'Polk, Bob', 'role': 'Himself'}, {'actor': 'Stiller, Jerry', 'role': 'Himself'}, {'actor': 'Wilson, Matt (XIV)', 'role': 'Himself'}]","['Braha, Shirley', 'Donohue, Andrew', 'Garaicoa, Walter', 'Hunkele, Harry', 'Mello, Rich', 'Nolan, John (XI)']","['cheap', 'number-in-title', 'affordable', 'new-york-city', 'non-fiction']","['Atiya, Andrew', 'Braha, Shirley', 'Hunkele, Harry', 'Merlino, Adele', 'Ng, Philip (II)', 'Wang, Limei', 'Wierson, Arick B.']",fun new york city 999 say fuhgetaboutit let 999 host julie laipply brian mcmullan maryam basir rich collier show inexpensive free thing five borough every episode 999 whirlwind tour new york city unique neighborhood visit park museum restaurant gallery whole host interesting attraction cost little money show reveals eight ten adventure combined cost never top 999 whether youre watching new york new jersey connecticut satellite cable dont miss next adventure 999 fun new york city 999 say fuhgetaboutit let 999 host julie laipply brian mcmullan maryam basir rich collier show inexpensive free thing five borough every episode 999 whirlwind tour new york city unique neighborhood visit park museum restaurant gallery whole host interesting attraction cost little money show reveals eight ten adventure combined cost never top 999 whether youre watching new york new jersey connecticut satellite cable dont miss next adventure 999
16,000057,$exce$$,1993,"['Adult', 'Comedy']",English,USA,"Enright, Jim",,"[{'actor': 'Boy, T.T.', 'role': 'Himself'}, {'actor': 'Diamond, Debi', 'role': 'Herself'}, {'actor': 'Moore, Melanie (I)', 'role': 'Herself'}, {'actor': 'St. Croix, Steven', 'role': 'Himself'}, {'actor': 'Wallice, Marc', 'role': 'Himself'}]","de la Rue, Maurice","['hardcore', 'sex']",,debi diamond climb corporate ladder hard way back junior exec super rubber condom company diamond marc wallice team tt boy lilli xene taperecording rival plan executive washroom debi diamond climb corporate ladder hard way back junior exec super rubber condom company diamond marc wallice team tt boy lilli xene taperecording rival plan executive washroom
17,000067,''Buddhist Monkey'',2003,"['Short', 'Action', 'Comedy', 'Adventure', 'Animation']",English,USA,"Lau, Alan",,"{'actor': 'Biancalana, Jeff', 'role': 'Buddhist Monkey'}",,"['karate', 'violence', 'peace', 'fighting', 'buddhist', 'martial-arts', 'monkey', 'garden', 'action-hero']","['Graff, Warren', 'Lau, Alan']",animated short creator happy tree friend buddhist monkey monkey peaceful relaxed meditating garden sudden get attacked three green ninja damage beautiful plant garden including one flower loved cause get angry show amazing martial art skill buddhist monkey kill three ninja go back us power revive favorite flower doesnt work start cry make flower come back life animated short creator happy tree friend buddhist monkey monkey peaceful relaxed meditating garden sudden get attacked three green ninja damage beautiful plant garden including one flower loved cause get angry show amazing martial art skill buddhist monkey kill three ninja go back us power revive favorite flower doesnt work start cry make flower come back life
18,000068,'...nettirwnU',2005,"['Short', 'Drama']",English,Canada,"Andrews, Kaare","Tymoschuk, Jeff","[{'actor': 'Bernard, Wayne (I)', 'role': 'Shanks'}, {'actor': 'Burnside, John (III)', 'role': 'Andrew Herbert'}]","Fritsch, Jana",,"Andrews, Kaare",andrew herbert unpublished author nearing end day determined finish great novel dy he locked apartment work night day gotten within last chapter mysterious reporter unexpectedly show door interview life andrew herbert unpublished author nearing end day determined finish great novel dy he locked apartment work night day gotten within last chapter mysterious reporter unexpectedly show door interview life
19,000072,'11',1980,Adult,English,USA,"['Lewis, Elliot', 'Lewis, Harry (III)']",,"[{'actor': 'Adams, Jesse (I)', 'role': 'Frank'}, {'actor': 'Anderson, Nikki (I)', 'role': ""Lee's Girl - Black Garter Belt""}, {'actor': 'Davis, Elaine (VI)', 'role': ""Lee's Girl - Red Garter Belt""}, {'actor': 'Dee, Billy (I)', 'role': 'Lee'}, {'actor': 'Eberhart, Gary', 'role': 'J. J.'}, {'actor': 'Grant, Phaedra', 'role': 'Cleaning Lady'}, {'actor': 'Holiday, Bonnie', 'role': 'Miss Johnson'}, {'actor': 'Martin, Jon', 'role': 'Hal Jordan'}, {'actor': 'Meador, Dale', 'role': 'Psychiatrist'}, {'actor': 'Morris, David (V)', 'role': 'Guy on Couch'}, {'actor': 'Savage, Herschel', 'role': 'Guy on Phone'}, {'actor': 'Scudder, Ken (I)', 'role': 'Guy in Bar'}]",,"['therapy', 'sex-clinic', 'hardcore', 'psychiatrist', 'sex']",,elevenas good 10 much scale one ten would perfect woman 11 bring sizzling brooke west richard longs perfect woman go doctor helpwhile exploring sexuality discovers brooke show there lot ten office hour exciting search perfect partner lead tangle sexual variety exciting lady ever appear adult scene discover dhaije taan would say shes flirt shy virgin yes elevenas good 10 much scale one ten would perfect woman 11 bring sizzling brooke west richard longs perfect woman go doctor helpwhile exploring sexuality discovers brooke show there lot ten office hour exciting search perfect partner lead tangle sexual variety exciting lady ever appear adult scene discover dhaije taan would say shes flirt shy virgin yes
20,000079,'49-'17,1917,Western,,USA,"Baldwin, Ruth Ann",,"[{'actor': 'Drew, Donna (I)', 'role': 'Peggy Bobbett'}, {'actor': 'Dyer, William (I)', 'role': 'J. Gordon Castle'}, {'actor': 'Girard, Joseph W.', 'role': 'Judge J.R. Brand'}, {'actor': 'Haver, Phyllis', 'role': 'Young Bee Adams'}, {'actor': 'Hersholt, Jean', 'role': 'Gentleman Jim Raynor'}, {'actor': 'Osborne, Bud (I)', 'role': 'Cowboy Pitchman'}, {'actor': 'Pearce, George C.', 'role': ""Ezra 'Pa' Bobbett""}, {'actor': 'Pierson, Leo', 'role': 'Tom Reeves, aka Tom Robbins'}, {'actor': 'Poff, Lon', 'role': 'Bald-Headed Wrangler'}, {'actor': 'Rattenberry, Harry L.', 'role': 'Colonel Hungerford'}]",,"['trial', 'rival', 'secretary', 'theater', 'gambler', 'robbery', 'number-in-title', 'mining-camp', 'san-diego-california', 'kidnapping', 'punctuation-in-title', 'extortion', 'wolf', 'boom-town', 'gold', 'digit-in-title', 'judge', 'attempted-murder', 'rescue', 'apostrophe-in-title', 'gunfire', 'gunshot-wound']","['Baldwin, Ruth Ann', 'Cook, William Wallace']",judge taken part gold rush 1849 hire acting troupe recreate experience rather fanciful silent western makebelieve turn serious real goldmine discovered nearby local girl kidnapped nasty gambler judge taken part gold rush 1849 hire acting troupe recreate experience rather fanciful silent western makebelieve turn serious real goldmine discovered nearby local girl kidnapped nasty gambler
21,000083,'68,1988,Drama,English,USA,"Kovacs, Steven (I)","['Braun, Shony Alex', 'Cipollina, John']","[{'actor': 'Braun, Shony Alex', 'role': 'Himself'}, {'actor': 'De Charay, Elizabeth', 'role': 'Herself'}, {'actor': 'Doukas, Nike', 'role': 'Beatrice'}, {'actor': 'Dukasz, Anna', 'role': 'Herself'}, {'actor': 'Koué, Scott', 'role': 'Bartender/reporter'}, {'actor': 'Kwun, Miran', 'role': 'Himself'}, {'actor': 'Lane, Rusdi', 'role': 'Himself'}, {'actor': 'Larson, Eric (II)', 'role': 'Peter'}, {'actor': 'Locke, Robert (I)', 'role': 'Sandy'}, {'actor': 'Mur, Frank X.', 'role': 'Army Major'}, {'actor': 'Nemec, Jan', 'role': 'Himself'}, {'actor': 'Parker, Joel (I)', 'role': 'The Screaming Protester'}, {'actor': 'Pedroli, Paul', 'role': 'American in restaurant'}, {'actor': 'Técsy, Sándor', 'role': 'Zoltan Szabo'}, {'actor': 'Young, Neil (I)', 'role': 'Westy'}]","Coughlin, Cari","['gay-interest', 'homosexual', 'independent-film', 'gay-brother', 'coming-out', 'gay-son']",,68 cover exactly one year january 1st december 31st life zoltan szabo family hungarian immigrant working hard make life san francisco 1968 szabos try adjust new country changing time year covered one particular cultural change u interplay cultural change occurring around zoltan wife two collegeage son 68 cover exactly one year january 1st december 31st life zoltan szabo family hungarian immigrant working hard make life san francisco 1968 szabos try adjust new country changing time year covered one particular cultural change u interplay cultural change occurring around zoltan wife two collegeage son
